prompt_id,candidate_id,human_mean,human_median,n_score_1,n_score_2,n_score_3,human_score_normalized,winner_votes
PLT015,B,2.800,3.0,0,1,4,0.900,1
PLT015,C,2.200,3.0,2,0,3,0.600,1
PLT015,D,2.000,2.0,2,1,2,0.500,0
PLT016,A,2.800,3.0,0,1,4,0.900,3
PLT016,B,3.000,3.0,0,0,5,1.000,0
PLT016,C,2.400,3.0,1,1,3,0.700,1
PLT016,D,2.000,2.0,2,1,2,0.500,1
PLT017,A,1.400,1.0,4,0,1,0.200,2
PLT017,B,1.000,1.0,5,0,0,0.000,1
PLT017,C,1.000,1.0,5,0,0,0.000,2
PLT017,D,1.200,1.0,4,1,0,0.100,0
PLT018,A,2.400,3.0,1,1,3,0.700,4
PLT018,B,1.400,1.0,3,2,0,0.200,0
PLT018,C,1.600,1.0,3,1,1,0.300,0
PLT018,D,1.600,1.0,3,1,1,0.300,1
PLT019,A,2.000,2.0,2,1,2,0.500,2
PLT019,B,1.800,2.0,2,2,1,0.400,0
PLT019,C,2.000,2.0,2,1,2,0.500,1
PLT019,D,2.200,2.0,1,2,2,0.600,2
PLT020,A,1.000,1.0,5,0,0,0.000,1
PLT020,B,1.000,1.0,5,0,0,0.000,1
PLT020,C,1.000,1.0,5,0,0,0.000,0
PLT020,D,1.000,1.0,5,0,0,0.000,3
PLT021,A,2.000,2.0,2,1,2,0.500,1
PLT021,B,1.600,2.0,2,3,0,0.300,1
PLT021,C,2.400,3.0,1,1,3,0.700,1
PLT021,D,2.200,2.0,1,2,2,0.600,2
PLT022,A,2.200,2.0,1,2,2,0.600,1
PLT022,B,2.600,3.0,0,2,3,0.800,2
PLT022,C,2.400,2.0,0,3,2,0.700,2
PLT022,D,2.200,2.0,1,2,2,0.600,0
PLT023,A,1.600,2.0,2,3,0,0.300,1
PLT023,B,2.400,3.0,1,1,3,0.700,4
PLT023,C,1.600,2.0,2,3,0,0.300,0
PLT023,D,1.600,2.0,2,3,0,0.300,0
PLT024,A,2.200,2.0,1,2,2,0.600,2
PLT024,B,2.400,3.0,1,1,3,0.700,2
PLT024,C,1.800,2.0,2,2,1,0.400,0
PLT024,D,2.200,2.0,1,2,2,0.600,1
PLT025,A,1.400,1.0,3,2,0,0.200,0
PLT025,B,2.000,2.0,2,1,2,0.500,1
PLT025,C,1.600,1.0,3,1,1,0.300,2
PLT025,D,1.200,1.0,4,1,0,0.100,2
PLT026,A,2.000,2.0,2,1,2,0.500,3
PLT026,B,2.000,2.0,2,1,2,0.500,1
PLT026,C,1.600,1.0,3,1,1,0.300,0
PLT026,D,1.200,1.0,4,1,0,0.100,1
PLT027,A,2.400,3.0,1,1,3,0.700,0
PLT027,B,2.200,2.0,1,2,2,0.600,0
PLT027,C,2.200,2.0,1,2,2,0.600,0
PLT027,D,2.800,3.0,0,1,4,0.900,5
PLT028,A,2.400,2.0,0,3,2,0.700,2
PLT028,B,2.400,2.0,0,3,2,0.700,1
PLT028,C,2.200,2.0,1,2,2,0.600,1
PLT028,D,2.400,3.0,1,1,3,0.700,1
PLT029,A,2.000,2.0,2,1,2,0.500,2
PLT029,B,2.400,2.0,0,3,2,0.700,2
PLT029,C,2.200,2.0,1,2,2,0.600,0
PLT029,D,2.200,2.0,1,2,2,0.600,1
PLT030,A,1.800,2.0,2,2,1,0.400,2
PLT030,B,2.000,2.0,0,5,0,0.500,1
PLT030,C,2.000,2.0,1,3,1,0.500,2
PLT030,D,1.400,1.0,3,2,0,0.200,0
